id,name,set,setId,date,circulation
8286e3c3-3bdc-4d2c-b0b2-8caa5a6c178c,Roy Hibbert,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2013-12-31T20:00:00Z,275
13901146-f010-462e-8261-09962d4ba945,Lonnie Walker,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-04T01:30:00Z,299
848fc5cd-f44a-4781-ba40-83a24e9f30d2,Kemba Walker,Eastern Conference Finals,9c8202c7-698b-4f44-b029-b70ddc49e9dc,2020-09-24T00:30:00Z,999
240fca07-e5a5-461c-91cc-373106e321a2,Nikola Jokić,First Round,d2378dc1-1168-410b-893d-e084170a402e,2020-09-02T00:30:00Z,150
0efe3a9b-767d-4b43-8ef9-8dafc464646c,JaMychal Green,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-08-30T19:30:00Z,299
092685e0-8636-459d-a9d0-9a6c2ce150e6,Nikola Jokić,Cosmic,c561f66b-5bd8-451c-8686-156073c3fb69,2019-12-30T01:00:00Z,49
092685e0-8636-459d-a9d0-9a6c2ce150e6,Nikola Jokić,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2019-12-30T01:00:00Z,50
4a32bf82-6967-40bf-8420-e40be36b1b77,Nikola Jokić,Conference Semifinals,feead270-621c-4cde-baac-2f6834e9e594,2020-09-13T17:00:00Z,275
092685e0-8636-459d-a9d0-9a6c2ce150e6,Nikola Jokić,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-30T01:00:00Z,299
d4862bda-6c6f-41a2-8cc3-8387375370a9,Michael Porter Jr.,Base Set,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,2020-12-30T03:00:00Z,4000
7395d0db-7bcf-431f-8969-a6736699920e,Gordon Hayward,Base Set,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,2020-12-28T00:00:00Z,4000
c0cb15bb-c8f0-4cea-99d1-46fe1d10d1a2,Marc Gasol,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-03-02T02:00:00Z,275
48ceb6bc-13ea-43cd-b1cd-6aafac4763d1,Jimmy Butler,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-03-23T00:00:00Z,275
b179bbba-e9d7-4f78-8ac6-bf3aa3195588,Jimmy Butler,Eastern Conference Finals,9c8202c7-698b-4f44-b029-b70ddc49e9dc,2020-09-17T23:00:00Z,999
b3eaf03e-a764-4959-9eae-9442f06d1217,Steph Curry,From the Top,a494c64e-9e93-418c-8934-f331ee47a39b,2020-03-06T03:30:00Z,59
8d03262c-f399-4847-8a4c-d31399c4edee,Nikola Vučević,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2020-01-05T00:00:00Z,50
e96153a7-b218-4da8-9e0f-6a79fe0e5df6,Bradley Beal,Lace 'Em Up,3a0ae6ce-f22e-4d98-b1fe-906f859df983,2020-02-25T00:00:00Z,75
abd4da56-b32e-4b41-baac-728a147a6e73,Jayson Tatum,Cosmic,c561f66b-5bd8-451c-8686-156073c3fb69,2019-11-21T03:00:00Z,49
e2c09c0f-e04b-45db-9f5f-7cd0e6c5ed2b,Luka Dončić,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-03-12T00:00:00Z,1431
9b8c111f-11a7-4f4d-a69f-dc1ba5e76621,Stanley Johnson,Base Set,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,2020-12-30T00:00:00Z,4000
8dbe4ee9-eb10-48d6-a0c1-3f8ce6b703d5,Harrison Barnes,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-30T03:00:00Z,499
46f9e2fc-d787-4905-ab90-a85d69efc9eb,Shabazz Napier,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-08-05T20:00:00Z,299
a9c9ca2f-ff9a-4102-8085-8d670750d410,LaMarcus Aldridge,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2020-01-18T01:30:00Z,50
695bb22d-08cf-4457-b00c-5e6ceec69fcd,Zion Williamson,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-07-30T22:30:00Z,1642
681b6cae-7724-4475-a101-b2fb5ca7f516,Marquese Chriss,Cosmic,c561f66b-5bd8-451c-8686-156073c3fb69,2020-02-09T01:30:00Z,49
e4f2b183-33d3-489f-b361-aefb0a30be91,James Harden,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-27T03:00:00Z,499
452fe9d1-c87c-4de7-85de-5fc400081c2d,Christian Wood,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-12-01T22:00:00Z,299
a9dc398e-c76e-4c8f-ac52-b999222d4110,Devin Booker,Cosmic,c561f66b-5bd8-451c-8686-156073c3fb69,2019-11-28T02:00:00Z,49
013f91cb-e991-4961-bce8-600c4ec19976,Andrew Wiggins,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-30T00:00:00Z,499
6028f7b9-7f8b-45b0-ba2b-c1f8523b7b64,Anthony Davis,Holo MMXX,814c5183-596f-41d7-9135-c6b29faa9c6d,2020-01-02T03:30:00Z,50
96e2e59c-2791-46cc-9fc3-da4fab684fc1,Lou Williams,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-31T03:00:00Z,499
8598d54a-2c31-44f9-8e3e-7827482e5a57,Jerami Grant,Base Set,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,2020-12-30T00:00:00Z,4000
60695463-d3b5-481b-a214-4a81707523be,Reggie Bullock,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-08T03:30:00Z,299
083c82ae-e0d5-486a-8cb6-0b7f94629f84,Aaron Gordon,Metallic Gold LE,33a4a3a3-a32c-4925-a4e8-7d24e56b105e,2020-12-27T00:00:00Z,499
2d0a9278-d9de-436f-82c6-ad70ec52a545,Tyler Herro,2020 NBA Finals,320cae53-d585-4e74-8a66-404fa3543c19,2020-10-04T23:30:00Z,79
68b6c94f-99c4-4371-8bc7-09124ae304e3,Dennis Schröder,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-08-24T20:00:00Z,299
4121cf7f-cd12-4c3c-a5bf-414478213c19,Ish Smith,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-24T00:00:00Z,299
e1f92cd3-829c-4983-ab4f-42684006a131,LeBron James,So Fresh,5f85e04f-798f-434c-89d4-2b0a575bd652,2020-08-02T00:30:00Z,250
a9c9ca2f-ff9a-4102-8085-8d670750d410,LaMarcus Aldridge,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-18T01:30:00Z,299
0b2b9e68-d52e-4511-910a-6ea5d37915ac,Karl-Anthony Towns,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-01T20:30:00Z,299
41a6a797-7fe9-4ed3-b96c-d0b533248670,Collin Sexton,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2019-10-30T23:00:00Z,299
c8ad129e-a803-4400-9025-2c4209bd2ed4,D'Angelo Russell,For the Win,252e83ac-b3a4-407e-82d2-138beb60b5b9,2020-02-27T00:30:00Z,199
2563de53-9c32-42a8-9413-dd0158e9c656,Carmelo Anthony,For the Win,252e83ac-b3a4-407e-82d2-138beb60b5b9,2020-01-08T00:00:00Z,199
f7b639eb-486f-4fc2-b67c-8bea8b663431,Ben Simmons,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-12-29T01:00:00Z,1359
59c27a62-5054-4ff7-bfd9-2044dcbfe4a7,Bradley Beal,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-02-08T00:00:00Z,2986
67319ec3-e326-4529-b452-cc79b1d2bd65,Bam Adebayo,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-29T23:30:00Z,1431
013dcdac-bc86-498e-aa3d-7719ac9bd6b6,Malcolm Brogdon,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-20T01:00:00Z,299
768166e3-f4bb-4395-9b48-4c545aebc95c,LeBron James,From the Top,a494c64e-9e93-418c-8934-f331ee47a39b,2020-02-07T03:30:00Z,59
aefc2852-2bce-46d6-87f1-0ad0e5b27169,Austin Rivers,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2019-10-29T00:00:00Z,3339
033d39ba-d675-4836-9c95-8b96b3865f86,Brook Lopez,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-02-05T00:30:00Z,299
621c2ac0-a968-40a8-8736-89e340f4b58c,Rajon Rondo,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-09-25T01:00:00Z,299
813e4469-c150-4ded-b60f-02380ec71bc5,Jimmy Butler,Conference Semifinals,feead270-621c-4cde-baac-2f6834e9e594,2020-09-02T22:30:00Z,275
914eb8b9-90fc-4998-b83a-5cb6a264588d,Kelly Oubre Jr.,Base Set,7b797690-5b53-45a7-b972-bd2d5152654a,2020-01-11T02:00:00Z,3345
a5cb5392-704c-4687-a2d5-c0f3e8e3ec6c,Daniel Theis,Metallic Gold LE,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,2020-01-17T01:00:00Z,299
b5f2022e-951a-41d9-81a0-58e4bf8110db,Otto Porter Jr.,Run It Back,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,2014-04-11T23:00:00Z,275
